"HH_Composition","Week_to_Election","pop_prop","from"
"2 or more adult Females","3",0.0873733066786661,"reg_pop"
"2 or more adult Females","3",0.0830508474576271,"sample_pop"
"2 or more adult Females","2",0.0873733066786661,"reg_pop"
"2 or more adult Females","2",0.0805270863836018,"sample_pop"
"2 or more adult Females","1",0.0873733066786661,"reg_pop"
"2 or more adult Females","1",0.074235807860262,"sample_pop"
"2 or more adult Females","0",0.0873733066786661,"reg_pop"
"2 or more adult Females","0",0.0872534142640364,"sample_pop"
"2 or more adult Females + children","6",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","6",0.0914351851851852,"sample_pop"
"2 or more adult Females + children","5",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","5",0.0711938663745893,"sample_pop"
"2 or more adult Females + children","4",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","4",0.074468085106383,"sample_pop"
"2 or more adult Females + children","3",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","3",0.0745762711864407,"sample_pop"
"2 or more adult Females + children","2",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","2",0.0797950219619327,"sample_pop"
"2 or more adult Females + children","1",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","1",0.0848409232688709,"sample_pop"
"2 or more adult Females + children","0",0.0463836809090538,"reg_pop"
"2 or more adult Females + children","0",0.0569044006069803,"sample_pop"
"2 or more adult Males","6",0.0941464336821599,"reg_pop"
"2 or more adult Males","6",0.0983796296296296,"sample_pop"
"2 or more adult Males","5",0.0941464336821599,"reg_pop"
"2 or more adult Males","5",0.127053669222344,"sample_pop"
"2 or more adult Males","4",0.0941464336821599,"reg_pop"
"2 or more adult Males","4",0.104448742746615,"sample_pop"
"2 or more adult Males","3",0.0941464336821599,"reg_pop"
"2 or more adult Males","3",0.0949152542372881,"sample_pop"
"2 or more adult Males","2",0.0941464336821599,"reg_pop"
"2 or more adult Males","2",0.106149341142021,"sample_pop"
"2 or more adult Males","1",0.0941464336821599,"reg_pop"
"2 or more adult Males","1",0.12788521522146,"sample_pop"
"2 or more adult Males","0",0.0941464336821599,"reg_pop"
"2 or more adult Males","0",0.132776934749621,"sample_pop"
"2 or more adult Males + children","6",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","6",0.0127314814814815,"sample_pop"
"2 or more adult Males + children","5",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","5",0.0109529025191676,"sample_pop"
"2 or more adult Males + children","4",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","4",0.0183752417794971,"sample_pop"
"2 or more adult Males + children","3",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","3",0.0220338983050847,"sample_pop"
"2 or more adult Males + children","2",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","2",0.020497803806735,"sample_pop"
"2 or more adult Males + children","1",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","1",0.0174672489082969,"sample_pop"
"2 or more adult Males + children","0",0.0338225687089702,"reg_pop"
"2 or more adult Males + children","0",0.0227617602427921,"sample_pop"
