RACE,NAME,PARTY,CANVASS VOTES
U. S. Senator,John Cornyn(I),REP,2861531
U. S. Senator,David M. Alameel,DEM,1597387
U. S. Senator,Rebecca Paddock,LIB,133751
U. S. Senator,"Emily ""Spicybrown"" Sanchez",GRN,54701
U. S. Senator,Mohammed Tahiro,W-I,988
U. S. Senator,,Race Total,4648358
U. S. Representative District 10,Louie Gohmert(I),REP,115084
U. S. Representative District 10,Shirley J. McKellar,DEM,33476
U. S. Representative District 10,,Race Total,148560
U. S. Representative District 20,Ted Poe(I),REP,101936
U. S. Representative District 20,Niko Letsos,DEM,44462
U. S. Representative District 20,James B. Veasaw,LIB,2316
U. S. Representative District 20,Mark Roberts,GRN,1312
U. S. Representative District 20,,Race Total,150026
U. S. Representative District 30,Sam Johnson(I),REP,113404
U. S. Representative District 30,Paul Blair,GRN,24876
U. S. Representative District 30,,Race Total,138280
U. S. Representative District 4,John Ratcliffe,REP,115085
U. S. Representative District 4,,Race Total,115085
U. S. Representative District 5,Jeb Hensarling(I),REP,88998
U. S. Representative District 5,Ken Ashby,LIB,15264
U. S. Representative District 5,,Race Total,104262
U. S. Representative District 6,Joe Barton(I),REP,92334
U. S. Representative District 6,David E. Cozad,DEM,55027
U. S. Representative District 6,Hugh Chauvin,LIB,3635
U. S. Representative District 6,,Race Total,150996
U. S. Representative District 7,John Culberson(I),REP,90606
U. S. Representative District 7,James Cargas,DEM,49478
U. S. Representative District 7,Gerald Fowler,LIB,3135
U. S. Representative District 7,,Race Total,143219
U. S. Representative District 8,Kevin Brady(I),REP,125066
U. S. Representative District 8,Ken Petty,LIB,14947
U. S. Representative District 8,,Race Total,140013
U. S. Representative District 9,Al Green(I),DEM,78109
U. S. Representative District 9,Johnny Johnson,LIB,7894
U. S. Representative District 9,,Race Total,86003
U. S. Representative District 10,Michael McCaul(I),REP,109726
U. S. Representative District 10,Tawana Walter-Cadien,DEM,60243
U. S. Representative District 10,Bill Kelsey,LIB,6491
U. S. Representative District 10,,Race Total,176460
U. S. Representative District 11,Mike Conaway(I),REP,107939
U. S. Representative District 11,Ryan T. Lange,LIB,11635
U. S. Representative District 11,,Race Total,119574
U. S. Representative District 12,Kay Granger(I),REP,113186
U. S. Representative District 12,Mark Greene,DEM,41757
U. S. Representative District 12,Ed Colliver,LIB,3787
U. S. Representative District 12,,Race Total,158730
U. S. Representative District 13,Mac Thornberry(I),REP,110842
U. S. Representative District 13,Mike Minter,DEM,16822
U. S. Representative District 13,Emily Pivoda,LIB,2863
U. S. Representative District 13,Don Cook,GRN,924
U. S. Representative District 13,,Race Total,131451
U. S. Representative District 14,Randy Weber(I),REP,90116
U. S. Representative District 14,Donald G. Brown,DEM,52545
U. S. Representative District 14,John Wieder,LIB,3037
U. S. Representative District 14,,Race Total,145698
U. S. Representative District 15,Eddie Zamora,REP,39016
U. S. Representative District 15,Rubén Hinojosa(I),DEM,48708
U. S. Representative District 15,Johnny Partain,LIB,2460
U. S. Representative District 15,,Race Total,90184
U. S. Representative District 16,Corey Roen,REP,21324
U. S. Representative District 16,Beto O'Rourke(I),DEM,49338
U. S. Representative District 16,Jaime O. Perez,LIB,2443
U. S. Representative District 16,,Race Total,73105
U. S. Representative District 17,Bill Flores(I),REP,85807
U. S. Representative District 17,Nick Haynes,DEM,43049
U. S. Representative District 17,Shawn Michael Hamilton,LIB,4009
U. S. Representative District 17,,Race Total,132865
U. S. Representative District 18,Sean Seibert,REP,26249
U. S. Representative District 18,Sheila Jackson Lee(I),DEM,76097
U. S. Representative District 18,Remington Alessi,GRN,1302
U. S. Representative District 18,Vince Duncan,IND,2362
U. S. Representative District 18,,Race Total,106010
U. S. Representative District 19,Randy Neugebauer(I),REP,90160
U. S. Representative District 19,Neal Marchbanks,DEM,21458
U. S. Representative District 19,Richard (Chip) Peterson,LIB,5146
U. S. Representative District 19,Donald L. Vance,W-I,54
U. S. Representative District 19,,Race Total,116818
U. S. Representative District 20,Joaquin Castro(I),DEM,66554
U. S. Representative District 20,Jeffrey C. Blunt,LIB,21410
U. S. Representative District 20,,Race Total,87964
U. S. Representative District 21,Lamar Smith(I),REP,135660
U. S. Representative District 21,Ryan Shields,LIB,25505
U. S. Representative District 21,Antonio Diaz,GRN,27831
U. S. Representative District 21,,Race Total,188996
U. S. Representative District 22,Pete Olson(I),REP,100861
U. S. Representative District 22,Frank Briscoe,DEM,47844
U. S. Representative District 22,Rob Lapham,LIB,2861
U. S. Representative District 22,,Race Total,151566
U. S. Representative District 23,Will Hurd,REP,57459
U. S. Representative District 23,Pete P. Gallego(I),DEM,55037
U. S. Representative District 23,Ruben Corvalan,LIB,2933
U. S. Representative District 23,,Race Total,115429
U. S. Representative District 24,Kenny E. Marchant(I),REP,93712
U. S. Representative District 24,Patrick McGehearty,DEM,46548
U. S. Representative District 24,Mike Kolls,LIB,3813
U. S. Representative District 24,,Race Total,144073
U. S. Representative District 25,Roger Williams(I),REP,107120
U. S. Representative District 25,Marco Montoya,DEM,64463
U. S. Representative District 25,John Betz,LIB,6300
U. S. Representative District 25,,Race Total,177883
U. S. Representative District 26,Michael Burgess(I),REP,116944
U. S. Representative District 26,Mark Boler,LIB,24526
U. S. Representative District 26,,Race Total,141470
U. S. Representative District 27,Blake Farenthold(I),REP,83342
U. S. Representative District 27,Wesley Reed,DEM,44152
U. S. Representative District 27,Roxanne Simonson,LIB,3553
U. S. Representative District 27,,Race Total,131047
U. S. Representative District 28,Henry Cuellar(I),DEM,62508
U. S. Representative District 28,William Aikens,LIB,10153
U. S. Representative District 28,Michael D. Cary,GRN,3475
U. S. Representative District 28,,Race Total,76136
U. S. Representative District 29,Gene Green(I),DEM,41321
U. S. Representative District 29,James Stanczak,LIB,4822
U. S. Representative District 29,,Race Total,46143
U. S. Representative District 30,Eddie Bernice Johnson(I),DEM,93041
U. S. Representative District 30,Max W. Koch III,LIB,7154
U. S. Representative District 30,Eric LeMonte Williams,IND,5598
U. S. Representative District 30,,Race Total,105793
U. S. Representative District 31,John Carter(I),REP,91607
U. S. Representative District 31,Louie Minor,DEM,45715
U. S. Representative District 31,Scott J. Ballard,LIB,5706
U. S. Representative District 31,,Race Total,143028
U. S. Representative District 32,Pete Sessions(I),REP,96495
U. S. Representative District 32,Frank Perez,DEM,55325
U. S. Representative District 32,Ed Rankin,LIB,4276
U. S. Representative District 32,,Race Total,156096
U. S. Representative District 33,Marc Veasey(I),DEM,43769
U. S. Representative District 33,Jason Reeves,LIB,6823
U. S. Representative District 33,,Race Total,50592
U. S. Representative District 34,Larry S. Smith,REP,30811
U. S. Representative District 34,Filemon B Vela(I),DEM,47503
U. S. Representative District 34,Ryan Rowley,LIB,1563
U. S. Representative District 34,,Race Total,79877
U. S. Representative District 35,Susan Narvaiz,REP,32040
U. S. Representative District 35,Lloyd Doggett(I),DEM,60124
U. S. Representative District 35,Cory W. Bruner,LIB,2767
U. S. Representative District 35,Kat Swift,GRN,1294
U. S. Representative District 35,,Race Total,96225
U. S. Representative District 36,Brian Babin,REP,101663
U. S. Representative District 36,Michael K. Cole,DEM,29543
U. S. Representative District 36,Rodney Veach,LIB,1951
U. S. Representative District 36,"Hal J. Ridley, Jr",GRN,685
U. S. Representative District 36,,Race Total,133842
