FB_page ,Election_type,Party,Location,Page_name,Page Type,Notes
https://www.facebook.com/JulieForTexas/,US House,Dem,TX-25,Julie Oliver,Challenger,
https://www.facebook.com/michaelcburgess/,US House,Rep,TX-26,Michael C. Burgess,Incumbent Candidate,
https://www.facebook.com/LinseyFaganTx/,US House,Dem,TX-26,Linsey Fagan,Challenger,
https://www.facebook.com/CloudforCongress/,US House,Rep,TX-27,Michael Cloud,Incumbent Candidate,
https://www.facebook.com/EricHolguin/,US House,Dem,TX-27,Eric Holguin,Challenger,
,US House,Rep,TX-28,,,R not fielding candidate
https://www.facebook.com/repcuellar/,US House,Dem,TX-28,Henry Cuellar,Incumbent Candidate,
https://www.facebook.com/aronoffforcongress/,US House,Rep,TX-29,Philip Aronoff,Challenger,
https://www.facebook.com/SylviaRGarcia/,US House,Dem,TX-29,Sylvia Garcia,Incumbent Party,
,US House,Rep,TX-30,,,R not fielding candidate
https://www.facebook.com/CongresswomanEBJtx30/,US House,Dem,TX-30,Eddie Bernice Johnson,Incumbent Party,
https://www.facebook.com/judgecarter/,US House,Rep,TX-31,John Carter,Incumbent Candidate,
https://www.facebook.com/MJforTexas/,US House,Dem,TX-31,MJ Hegar,Challenger,
https://www.facebook.com/petesessions/,US House,Rep,TX-32,Pete Sessions,Incumbent Candidate,
https://www.facebook.com/ColinAllredTX/,US House,Dem,TX-32,Colin Allred,Challenger,
https://www.facebook.com/billups4congress/,US House,Rep,TX-33,Willie Billups,Challenger,
https://www.facebook.com/MarcVeasey,US House,Dem,TX-33,Marc Beasey,Incumbent Candidate,
https://www.facebook.com/profile.php?id=100011088094658&fref=mentions,US House,Rep,TX-34,Rey Gonzalez,Challenger,Only personal page available
https://www.facebook.com/UsCongressmanFilemonVela/,US House,Dem,TX-34,Filemon Vela Jr.,Incumbent Candidate,
https://www.facebook.com/Davidsmallingforcongress/,US House,Rep,TX-35,David Smalling ,Challenger,
https://www.facebook.com/LloydDoggettTX/,US House,Dem,TX-35,Lloyd Doggett,Incumbent Candidate,
https://www.facebook.com/RepBrianBabin/,US House,Rep,TX-36,Brian Babin,Incumbent Candidate,
https://www.facebook.com/daynasteele36/,US House,Dem,TX-36,Dayna Steele,Challenger,
