RACE,NAME,PARTY,CANVASS VOTES
U. S. Representative District 27,Raul (Roy) Barrera,DEM,88329
U. S. Representative District 27,,Race Total,230580
U. S. Representative District 28,Zeffen Hardin,REP,57740
U. S. Representative District 28,Henry Cuellar(I),DEM,122086
U. S. Representative District 28,Michael D. Cary,GRN,4616
U. S. Representative District 28,,Race Total,184442
U. S. Representative District 29,Julio Garza,REP,31646
U. S. Representative District 29,Gene Green(I),DEM,95649
U. S. Representative District 29,N. Ruben Perez,LIB,3234
U. S. Representative District 29,James Partsch-Galvan,GRN,1453
U. S. Representative District 29,,Race Total,131982
U. S. Representative District 30,Charles Lingerfelt,REP,41518
U. S. Representative District 30,Eddie Bernice Johnson(I),DEM,170502
U. S. Representative District 30,Jarrett R. Woods,LIB,4753
U. S. Representative District 30,Thom Prentice,GRN,2053
U. S. Representative District 30,,Race Total,218826
U. S. Representative District 31,John Carter(I),REP,166060
U. S. Representative District 31,Mike Clark,DEM,103852
U. S. Representative District 31,Scott Ballard,LIB,14676
U. S. Representative District 31,,Race Total,284588
U. S. Representative District 32,Pete Sessions(I),REP,162868
U. S. Representative District 32,Ed Rankin,LIB,43490
U. S. Representative District 32,Gary Stuard,GRN,22813
U. S. Representative District 32,,Race Total,229171
U. S. Representative District 33,M. Mark Mitchell,REP,33222
U. S. Representative District 33,Marc Veasey(I),DEM,93147
U. S. Representative District 33,,Race Total,126369
U. S. Representative District 34,"Rey Gonzalez, Jr.",REP,62323
U. S. Representative District 34,Filemon B. Vela(I),DEM,104638
U. S. Representative District 34,,Race Total,166961
U. S. Representative District 35,Susan Narvaiz,REP,62384
U. S. Representative District 35,Lloyd Doggett(I),DEM,124612
U. S. Representative District 35,Rhett Rosenquest Smith,LIB,6504
U. S. Representative District 35,Scott Trimble,GRN,4076
U. S. Representative District 35,,Race Total,197576
U. S. Representative District 36,Brian Babin(I),REP,193675
U. S. Representative District 36,Hal J. Ridley Jr.,GRN,24890
U. S. Representative District 36,,Race Total,218565
